op,a_f32_bits,a_f32,b_f32_bits,b_f32,result_tf_bits,result_f32
add,0,0.0,0,0.0,0,0.0
add,0,0.0,1065353216,1.0,68719477144,1.0
add,0,0.0,3212836864,-1.0,137438953880,-1.0
add,0,0.0,1077936128,3.0,68719477145,3.0
add,0,0.0,3225419776,-3.0,137438953881,-3.0
add,0,0.0,1056964608,0.5,91625969050,0.49999988079071045
add,0,0.0,3204448256,-0.5,183251937690,-0.49999988079071045
add,0,0.0,1051372203,0.3333333333,68719477146,0.3333333432674408
add,0,0.0,1069547520,1.5,91625969048,1.4999996423721313
add,0,0.0,1073741824,2.0,412316860824,2.0
add,0,0.0,1075838976,2.5,320690891160,2.500000238418579
add,0,0.0,1036831949,0.1,310450342276,0.09999999403953552
add,0,0.0,3184315597,-0.1,569158960516,-0.09999999403953552
add,0,0.0,1120403456,100.0,94757716369,100.0
add,0,0.0,3267887104,-100.0,176630530449,-100.0
add,0,0.0,981668463,0.001,440255255938,0.0009999999310821295
add,0,0.0,925353388,1e-05,451598133669,9.99999883788405e-06
add,0,0.0,1150964267,1234.5678,448398426516,1234.56787109375
add,0,0.0,3323613740,-9876.5432,641319899434,-9876.54296875
add,0,0.0,1109917696,42.0,455266533776,42.0
add,0,0.0,3257401344,-42.0,639950127504,-42.0
add,0,0.0,3274097312,-166.76025390625,628509479313,-166.76025390625
add,0,0.0,3295996505,-979.6616821289062,172356557204,-979.66162109375
add,0,0.0,1143118447,650.4130249023438,309663450518,650.4130249023438
add,0,0.0,3284753458,-402.72027587890625,636077345174,-402.7203063964844
add,0,0.0,3280180892,-263.1766357421875,147745806742,-263.1766357421875
add,0,0.0,3289983833,-612.6773071289062,572455934358,-612.6773071289062
add,0,0.0,1124336687,132.01634216308594,448825402769,132.016357421875
add,0,0.0,3291031541,-676.6243286132812,576147507606,-676.624267578125
add,0,0.0,3292257751,-751.4662475585938,140033745300,-751.4663696289062
add,0,0.0,3271958689,-134.12745666503906,635959777681,-134.12747192382812
add,0,0.0,1123569759,124.15697479248047,457705017745,124.15699005126953
add,0,0.0,3290616838,-651.3128662109375,567507814806,-651.3129272460938
add,0,0.0,1121247844,106.44216918945312,88399757713,106.4421615600586
add,0,0.0,3281066303,-290.1972351074219,177810708886,-290.1972351074219
add,0,0.0,1147471947,916.1295776367188,95715153300,916.12939453125
add,0,0.0,3293338203,-817.4118041992188,146677205396,-817.4119873046875
add,0,0.0,1148146155,957.2799682617188,88387256724,957.2798461914062
add,0,0.0,3274687199,-175.76121520996094,658574154129,-175.76121520996094
add,0,0.0,1090247954,7.870736122131348,311563683225,7.870736122131348
add,0,0.0,3291475274,-703.7076416015625,554673767830,-703.7076416015625
add,0,0.0,1138423703,437.9342956542969,452592010646,437.9342956542969
add,0,0.0,3290104746,-620.0572509765625,571307530646,-620.0573120117188
add,0,0.0,3281940616,-316.879150390625,173481018774,-316.8791198730469
add,0,0.0,3295558985,-952.9575805664062,173426364820,-952.9574584960938
add,0,0.0,3282074483,-320.9644470214844,172068211094,-320.9644775390625
add,0,0.0,1147780545,934.9649047851562,88617784724,934.9647827148438
add,0,0.0,1148151348,957.596923828125,88409915796,957.5966796875
add,0,0.0,1140098993,489.0600891113281,412592154006,489.06005859375
add,0,0.0,3296216527,-993.0907592773438,174351352212,-993.0905151367188
add,0,0.0,1146887815,880.4769897460938,95182686612,880.4769287109375
add,0,0.0,1144611372,741.533935546875,69082899860,741.5340576171875
add,0,0.0,1141336780,541.668701171875,438522893718,541.6686401367188
add,0,0.0,3290468392,-642.25244140625,568586568086,-642.2523803710938
add,0,0.0,3293069324,-801.000732421875,146297333140,-801.0009155273438
add,0,0.0,3274370912,-170.93505859375,627092898193,-170.93507385253906
add,0,0.0,1145095339,771.0729370117188,75834598804,771.0731811523438
add,0,0.0,1125919756,156.17205810546875,422091837841,156.1720733642578
add,0,0.0,1139578124,473.1644287109375,415141005718,473.1644592285156
add,0,0.0,3288707200,-534.7578125,658901707158,-534.7578125
add,0,0.0,1111279576,47.195159912109375,453561914768,47.195159912109375
add,0,0.0,1137795822,418.77288818359375,453828056470,418.77288818359375
add,0,0.0,1143106239,649.6679077148438,309673871766,649.6679077148438
add,0,0.0,1142525937,614.2490844726562,320404564374,614.2490234375
