op,a_f32_bits,a_f32,b_f32_bits,b_f32,result_tf_bits,result_f32
div,0,0.0,1065353216,1.0,0,0.0
div,0,0.0,3212836864,-1.0,0,0.0
div,0,0.0,1077936128,3.0,0,0.0
div,0,0.0,3225419776,-3.0,0,0.0
div,0,0.0,1056964608,0.5,0,0.0
div,0,0.0,3204448256,-0.5,0,0.0
div,0,0.0,1051372203,0.3333333333,0,0.0
div,0,0.0,1069547520,1.5,0,0.0
div,0,0.0,1073741824,2.0,0,0.0
div,0,0.0,1075838976,2.5,0,0.0
div,0,0.0,1036831949,0.1,0,0.0
div,0,0.0,3184315597,-0.1,0,0.0
div,0,0.0,1120403456,100.0,0,0.0
div,0,0.0,3267887104,-100.0,0,0.0
div,0,0.0,981668463,0.001,0,0.0
div,0,0.0,925353388,1e-05,0,0.0
div,0,0.0,1150964267,1234.5678,0,0.0
div,0,0.0,3323613740,-9876.5432,0,0.0
div,0,0.0,1109917696,42.0,0,0.0
div,0,0.0,3257401344,-42.0,0,0.0
div,0,0.0,3274097312,-166.76025390625,0,0.0
div,0,0.0,3295996505,-979.6616821289062,0,0.0
div,0,0.0,1143118447,650.4130249023438,0,0.0
div,0,0.0,3284753458,-402.72027587890625,0,0.0
div,0,0.0,3280180892,-263.1766357421875,0,0.0
div,0,0.0,3289983833,-612.6773071289062,0,0.0
div,0,0.0,1124336687,132.01634216308594,0,0.0
div,0,0.0,3291031541,-676.6243286132812,0,0.0
div,0,0.0,3292257751,-751.4662475585938,0,0.0
div,0,0.0,3271958689,-134.12745666503906,0,0.0
div,0,0.0,1123569759,124.15697479248047,0,0.0
div,0,0.0,3290616838,-651.3128662109375,0,0.0
div,0,0.0,1121247844,106.44216918945312,0,0.0
div,0,0.0,3281066303,-290.1972351074219,0,0.0
div,0,0.0,1147471947,916.1295776367188,0,0.0
div,0,0.0,3293338203,-817.4118041992188,0,0.0
div,0,0.0,1148146155,957.2799682617188,0,0.0
div,0,0.0,3274687199,-175.76121520996094,0,0.0
div,0,0.0,1090247954,7.870736122131348,0,0.0
div,0,0.0,3291475274,-703.7076416015625,0,0.0
div,0,0.0,1138423703,437.9342956542969,0,0.0
div,0,0.0,3290104746,-620.0572509765625,0,0.0
div,0,0.0,3281940616,-316.879150390625,0,0.0
div,0,0.0,3295558985,-952.9575805664062,0,0.0
div,0,0.0,3282074483,-320.9644470214844,0,0.0
div,0,0.0,1147780545,934.9649047851562,0,0.0
div,0,0.0,1148151348,957.596923828125,0,0.0
div,0,0.0,1140098993,489.0600891113281,0,0.0
div,0,0.0,3296216527,-993.0907592773438,0,0.0
div,0,0.0,1146887815,880.4769897460938,0,0.0
div,0,0.0,1144611372,741.533935546875,0,0.0
div,0,0.0,1141336780,541.668701171875,0,0.0
div,0,0.0,3290468392,-642.25244140625,0,0.0
div,0,0.0,3293069324,-801.000732421875,0,0.0
div,0,0.0,3274370912,-170.93505859375,0,0.0
div,0,0.0,1145095339,771.0729370117188,0,0.0
div,0,0.0,1125919756,156.17205810546875,0,0.0
div,0,0.0,1139578124,473.1644287109375,0,0.0
div,0,0.0,3288707200,-534.7578125,0,0.0
div,0,0.0,1111279576,47.195159912109375,0,0.0
div,0,0.0,1137795822,418.77288818359375,0,0.0
div,0,0.0,1143106239,649.6679077148438,0,0.0
div,0,0.0,1142525937,614.2490844726562,0,0.0
div,0,0.0,3288717456,-535.3837890625,0,0.0
div,0,0.0,1144690769,746.3799438476562,0,0.0
div,0,0.0,3289239374,-567.2391357421875,0,0.0
div,0,0.0,1142354714,603.7984619140625,0,0.0
div,0,0.0,1121736537,110.17060089111328,0,0.0
div,0,0.0,3290240504,-628.34326171875,0,0.0
div,0,0.0,1127298973,177.2172393798828,0,0.0
div,0,0.0,1108470339,36.4787712097168,0,0.0
div,0,0.0,1147491533,917.3250122070312,0,0.0
div,0,0.0,3294968571,-916.9215698242188,0,0.0
div,0,0.0,3290951245,-671.7234497070312,0,0.0
div,0,0.0,1148298614,966.5853271484375,0,0.0
div,0,0.0,1143347770,664.4097900390625,0,0.0
div,0,0.0,3291405600,-699.455078125,0,0.0
div,0,0.0,3288822154,-541.7740478515625,0,0.0
div,0,0.0,1117556120,78.27655029296875,0,0.0
div,0,0.0,3291185780,-686.038330078125,0,0.0
div,0,0.0,3283107137,-352.4785461425781,0,0.0
div,0,0.0,3294713636,-901.361572265625,0,0.0
div,0,0.0,1137945955,423.3545837402344,0,0.0
div,0,0.0,3293755384,-842.87451171875,0,0.0
div,0,0.0,1148669272,989.20849609375,0,0.0
div,0,0.0,1146243312,841.1396484375,0,0.0
div,0,0.0,1141926424,577.65771484375,0,0.0
div,0,0.0,1141388276,544.811767578125,0,0.0
div,0,0.0,3280224105,-264.4953918457031,0,0.0
div,0,0.0,1135785160,357.412353515625,0,0.0
div,0,0.0,1141023007,522.5175170898438,0,0.0
div,0,0.0,3256470075,-38.44749069213867,0,0.0
div,0,0.0,3294313675,-876.9498901367188,0,0.0
div,0,0.0,1132213561,252.20790100097656,0,0.0
div,0,0.0,3282976058,-348.47833251953125,0,0.0
div,0,0.0,1130114459,220.1781463623047,0,0.0
div,0,0.0,3273545684,-158.34307861328125,0,0.0
div,0,0.0,1147290609,905.0615844726562,0,0.0
div,0,0.0,3289723876,-596.810791015625,0,0.0
div,0,0.0,1141271965,537.7127075195312,0,0.0
div,0,0.0,1137086422,397.12371826171875,0,0.0
div,0,0.0,1122123907,113.1259994506836,0,0.0
div,0,0.0,3293706772,-839.907470703125,0,0.0
div,0,0.0,3290924590,-670.0965576171875,0,0.0
div,0,0.0,1147773976,934.56396484375,0,0.0
div,0,0.0,3288772034,-538.7149658203125,0,0.0
div,0,0.0,3290970750,-672.9139404296875,0,0.0
div,0,0.0,3285431375,-423.4086608886719,0,0.0
div,0,0.0,1117027180,74.24105834960938,0,0.0
div,0,0.0,1109190686,39.22667694091797,0,0.0
div,0,0.0,3296220551,-993.3363647460938,0,0.0
div,0,0.0,3296225363,-993.6300659179688,0,0.0
div,0,0.0,3237723819,-7.867024898529053,0,0.0
div,0,0.0,3290272416,-630.291015625,0,0.0
div,0,0.0,1129775214,215.00167846679688,0,0.0
div,0,0.0,1142242117,596.9260864257812,0,0.0
div,0,0.0,3293188153,-808.2534790039062,0,0.0
div,0,0.0,1092966787,10.33435344696045,0,0.0
div,0,0.0,3275471176,-187.7237548828125,0,0.0
div,0,0.0,1141979653,580.9065551757812,0,0.0
div,0,0.0,1147364732,909.585693359375,0,0.0
